"BOL #","CN #","Vendor","Port of Discharge ","Destination City","Destination State","Destination Country","ETA Date/Time","ETA Time Zone","Customs Clearance Status Date/Time","Customs Clearance Status Time Zone","Customs Clearance Status","B/L Status","Latest Container Event ","Latest Container Event Date/Time","Latest Container Event Time Zone","Latest Container Event Location","Container Size/Type"
="6160593120","TCNU228429-9","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/19/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Discharged from Vessel at Last Port of Discharge","05/11/2018 22:20","CDT","Long Beach, Long Beach, California, United States","40HQ",
="6160595830","CCLU663506-3","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/23/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/25/2018 23:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160596190","CBHU705070-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/23/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/25/2018 23:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6181625210","TCIU455408-8","Iti Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","05/23/2018 8:00 (Estimated)","CDT","","","","","Empty Container Picked Up","04/26/2018 6:11","CDT","Shanghai Lichang Warehouse& Tspt Co, Shanghai, Shanghai, China","20GP",
="6181628000","CBHU598224-2","Hangzhou Skye Vehicle Parts. Co., Ltd.","Los Angeles","Hewitt","Texas","United States","05/23/2018 16:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/27/2018 11:05","CDT","Shanghai, Shanghai, CHINA","20GP",
="6182529680","SEGU303576-1","Hebei Xingyue Braking Element Company Limited","Norfolk","Lexington","North Carolina","United States","05/24/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","04/24/2018 10:55","CDT","Busan, Busan, South Korea","20GP",
="6160595850","CCLU725168-0","Tianjin Wanda Tyre Group Company Limited","Long Beach","Memphis","Tennessee","United States","05/27/2018 7:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","04/25/2018 23:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160595840","UETU516083-1","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/02/2018 6:34","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160598220","CCLU769484-1","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/02/2018 6:34","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160598230","BMOU455577-6","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/02/2018 6:34","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6179386310","DFSU156558-2","Changyi Youxing Casting Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/04/2018 16:42","CDT","Qingdao, Qingdao, Shandong, China","20GP",
="6182552700","CBHU568861-8","Hebei Xingyue Braking Element Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","05/04/2018 16:42","CDT","Qingdao, Qingdao, Shandong, China","20GP",
="6179518010","TCNU137006-8","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/31/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","05/08/2018 23:27","CDT","Ningbo, Ningbo, Zhejiang, China","40HQ",
="6179518010","FSCU879069-9","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/31/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","05/08/2018 23:27","CDT","Ningbo, Ningbo, Zhejiang, China","40HQ",
="6179522280","TLLU487706-2","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/31/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","05/08/2018 23:27","CDT","Ningbo, Ningbo, Zhejiang, China","40HQ",
