"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="",="6181625210","Wait Listed*","Iti Company Limited","Shanghai (Intended)","Prince Rupert (Intended)","Memphis","","04/30/2018","Estimated","05/23/2018","Estimated","","","Empty Container Picked Up","04/26/2018","Shanghai Lichang Warehouse& Tspt Co, Shanghai","","","","","","","TCIU455408-8","20GP",
="",="6181429080","Confirmed*","Iti Company Limited","Shanghai (Intended)","Prince Rupert (Intended)","Memphis","","05/10/2018","Estimated","05/30/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="6179314700",="6179314700","Confirmed*","Qingdao Crowntyre Industrial Company Limited","Qingdao","Long Beach","Memphis","COSCO BELGIUM-028-East","04/02/2018","Actual","05/07/2018","Estimated","04/28/2018","Long Beach, Long Beach","Intermodal Departure from Last Port of Discharge","04/28/2018","Long Beach, Long Beach","04/27/2018","Long Beach","04/27/2018","Cleared","04/16/2018","Cleared","TLLU448613-4","40HQ",
="6179335990",="6179335990","Confirmed*","Qingdao Qihang Tyre Company Limited","Qingdao","Long Beach","Memphis","CSCL SUMMER-015-East","04/15/2018","Actual","05/11/2018","Estimated","","","Vessel Departure at First POL","04/15/2018","Qingdao, Qingdao","","","","Not Cleared","","Held","TCNU617717-5","40HQ",
="6160585160",="6160585160","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL AUTUMN-015-East","04/06/2018","Actual","05/06/2018","Estimated","04/26/2018","Prince Rupert, Prince Rupert","Intermodal Departure from Last Port of Discharge","04/26/2018","Prince Rupert, Prince Rupert","","","04/27/2018","Cleared","","Held","TCNU618121-5","40HQ",
="6160585170",="6160585170","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL AUTUMN-015-East","04/06/2018","Actual","05/07/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","04/29/2018","Long Beach, Long Beach","","","","","04/24/2018","Cleared","TCNU938972-7","40HQ",
="6160585180",="6160585180","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL AUTUMN-015-East","04/06/2018","Actual","05/07/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","04/29/2018","Long Beach, Long Beach","","","","","04/24/2018","Cleared","TCNU659847-2","40HQ",
="6160585150",="6160585150","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL SUMMER-015-East","04/12/2018","Actual","05/11/2018","Estimated","","","Vessel Departure at First POL","04/12/2018","Xingang, Xingang","","","","Not Cleared","","Held","MAGU536349-3","40HQ",
="6160592450",="6160592450","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL SUMMER-015-East","04/12/2018","Actual","05/11/2018","Estimated","","","Vessel Departure at First POL","04/12/2018","Xingang, Xingang","","","","Not Cleared","","Held","TCNU657533-2","40HQ",
="6160592460",="6160592460","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SUMMER-015-East","04/12/2018","Actual","05/07/2018","Estimated","","","Vessel Arrival at Last POD","04/27/2018","Prince Rupert, Prince Rupert","","","","Not Cleared","","Held","CCLU688295-2","40HQ",
="6160593110",="6160593110","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/20/2018","Estimated","","","Vessel Departure at First POL","04/19/2018","Xingang, Xingang","","","","Not Cleared","","Held","CCLU797283-4","40HQ",
="6160593120",="6160593120","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/20/2018","Estimated","","","Vessel Departure at First POL","04/19/2018","Xingang, Xingang","","","","Not Cleared","","Held","TCNU228429-9","40HQ",
