"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="6179386310",="6179386310","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/05/2018","Actual","05/31/2018","Estimated","05/21/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/21/2018","CN Prince Rupert, Prince Rupert","","","05/24/2018","Cleared","","Held","DFSU156558-2","20GP",
="6185488790",="6185488790","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao","Prince Rupert","Memphis","CSCL AUTUMN-016-East","05/22/2018","Actual","06/16/2018","Estimated","","","Vessel Departure at First POL","05/22/2018","Qingdao, Qingdao","","","","","","Held","CAIU344452-5","20GP",
="",="6185511510","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao (Intended)","Prince Rupert (Intended)","Memphis","","06/01/2018","Estimated","06/25/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="",="6185511520","Confirmed*","Changyi Youxing Casting Company Limited","Qingdao (Intended)","Prince Rupert (Intended)","Memphis","","06/01/2018","Estimated","06/25/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="6179518010",="6179518010","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/20/2018","Actual","05/30/2018","Estimated","05/21/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/21/2018","CN Prince Rupert, Prince Rupert","","","05/24/2018","Cleared","","Held","TCNU137006-8","40HQ",
="6179518010",="6179518010","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/20/2018","Actual","05/30/2018","Estimated","05/21/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/21/2018","CN Prince Rupert, Prince Rupert","","","05/24/2018","Cleared","","Held","FSCU879069-9","40HQ",
="6179522280",="6179522280","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Prince Rupert","Memphis","XIN BEIJING-104-North","04/22/2018","Actual","05/30/2018","Estimated","05/21/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/21/2018","CN Prince Rupert, Prince Rupert","","","05/24/2018","Cleared","","Held","TLLU487706-2","40HQ",
="6179524840",="6179524840","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Long Beach","Memphis","COSCO KAOHSIUNG-059-East","04/29/2018","Actual","05/25/2018","Estimated","05/21/2018","Long Beach, Long Beach","First Loaded on Rail Under I/B","05/26/2018","Union Pacific Railway - ICTF, Long Beach","","","05/23/2018","Cleared","","Held","TCNU557797-9","40HQ",
="6179524840",="6179524840","Wait Listed*","Guangdong Foreign Trade Import & Export Company Limited","Zhapu","Long Beach","Memphis","COSCO KAOHSIUNG-059-East","04/29/2018","Actual","05/25/2018","Estimated","05/21/2018","Long Beach, Long Beach","First Loaded on Rail Under I/B","05/26/2018","Union Pacific Railway - ICTF, Long Beach","","","05/23/2018","Cleared","","Held","TLLU447704-5","40HQ",
="6182110120",="6182110120","Confirmed*","Guangdong Foreign Trade Import & Export Company Limited","Shanghai","Prince Rupert","Memphis","COSCO EUROPE-059-North","05/18/2018","Actual","06/06/2018","Estimated","","","Vessel Departure at First POL","05/18/2018","Shanghai, Shanghai","","","","","","Held","FSCU872354-0","40HQ",
="6182110120",="6182110120","Confirmed*","Guangdong Foreign Trade Import & Export Company Limited","Shanghai","Prince Rupert","Memphis","COSCO EUROPE-059-North","05/18/2018","Actual","06/06/2018","Estimated","","","Vessel Departure at First POL","05/18/2018","Shanghai, Shanghai","","","","","","Held","DFSU632170-0","40HQ",
="",="6182111620","Confirmed*","Guangdong Foreign Trade Import & Export Company Limited","Shanghai (Intended)","Prince Rupert (Intended)","Memphis","","05/27/2018","Estimated","06/18/2018","Estimated","","","Vessel Departure at First POL","05/28/2018","Shanghai, Shanghai","","","","","","","FCIU987424-4","40HQ",
="",="6182112950","Confirmed*","Guangdong Foreign Trade Import & Export Company Limited","Shanghai (Intended)","Prince Rupert (Intended)","Memphis","","06/03/2018","Estimated","06/25/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6182112950","Confirmed*","Guangdong Foreign Trade Import & Export Company Limited","Shanghai (Intended)","Prince Rupert (Intended)","Memphis","","06/03/2018","Estimated","06/25/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="6181441580",="6181441580","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Shanghai","Charleston","Loris","COSCO GLORY-043-East","04/13/2018","Actual","","Estimated","","","Empty Container Returned to Carrier at Destination","05/24/2018","SC State PA-Wando Welch Tml, Charleston","05/10/2018","Charleston","04/16/2018","Cleared","05/10/2018","Cleared","TEMU013800-0","20GP",
="6181441580",="6181441580","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Shanghai","Charleston","Loris","COSCO GLORY-043-East","04/13/2018","Actual","","Estimated","","","Empty Container Returned to Carrier at Destination","05/24/2018","SC State PA-Wando Welch Tml, Charleston","05/10/2018","Charleston","04/16/2018","Cleared","05/10/2018","Cleared","DFSU119674-0","20GP",
="6181628000",="6181628000","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Shanghai","Los Angeles","Hewitt","IRENES WAVE-010-East","04/28/2018","Actual","05/22/2018","Actual","05/17/2018","Los Angeles, Los Angeles","Empty Container Returned to Carrier at Destination","05/24/2018","BNSF (Alliance), Dallas","05/16/2018","Los Angeles","04/28/2018","Cleared","05/15/2018","Cleared","CBHU598224-2","20GP",
="6008526090",="6008526090","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang","Norfolk","Henderson","HUAN HAI 168-140-East","05/17/2018","Actual","06/26/2018","Estimated","","","Vessel Departure at Transshipment Port","05/27/2018","Shanghai, Shanghai","","","05/25/2018","Cleared","","Held","CSLU235424-3","20GP",
="6008522700",="6008522700","Wait Listed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang","Prince Rupert","Memphis","GAN NAN CHANG HUO 1616-108-East","05/19/2018","Actual","06/20/2018","Estimated","","","Vessel Arrival at Transshipment Port","05/24/2018","Shanghai, Shanghai","","","05/25/2018","Cleared","","Held","GLDU931983-3","20GP",
="6008522710",="6008522710","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang","Charleston","Loris","GAN NAN CHANG HUO 1616-108-East","05/19/2018","Actual","06/26/2018","Estimated","","","Vessel Arrival at Transshipment Port","05/24/2018","Shanghai, Shanghai","","","05/25/2018","Cleared","","Held","CBHU552322-2","20GP",
="6008522710",="6008522710","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang","Charleston","Loris","GAN NAN CHANG HUO 1616-108-East","05/19/2018","Actual","06/26/2018","Estimated","","","Vessel Arrival at Transshipment Port","05/24/2018","Shanghai, Shanghai","","","05/25/2018","Cleared","","Held","CSLU114281-0","20GP",
="",="6008525240","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang (Intended)","Prince Rupert (Intended)","Memphis","","05/29/2018","Estimated","06/27/2018","Estimated","","","Container Arrival at First Port of Load","05/25/2018","Nanchang, Nanchang","","","","","","","CBHU411055-9","20GP",
="6182529680",="6182529680","Wait Listed*","Hebei Xingyue Braking Element Company Limited","Xingang","Norfolk","Lexington","QI YUN HE-133-East","04/19/2018","Actual","","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/26/2018","Norfolk, Norfolk","05/23/2018","Norfolk","05/23/2018","Cleared","05/21/2018","Cleared","SEGU303576-1","20GP",
="6182552700",="6182552700","Confirmed*","Hebei Xingyue Braking Element Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","06/01/2018","Estimated","05/21/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/21/2018","CN Prince Rupert, Prince Rupert","","","05/24/2018","Cleared","","Held","CBHU568861-8","20GP",
="6182545470",="6182545470","Confirmed*","Hebei Xingyue Braking Element Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/26/2018","Prince Rupert, Prince Rupert","","","","","","Held","TRHU168632-1","20GP",
="",="6182630420","Confirmed*","Hebei Xingyue Braking Element Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/30/2018","Estimated","06/25/2018","Estimated","","","Full Container Received by Carrier at Origin","05/27/2018","Tianjin Port Pacific Int'l Ctn Tml, Xingang","","","","","","","TCKU255801-3","20GP",
="6181429080",="6181429080","Confirmed*","Intradin Huzhou Hardware Co., Ltd","Shanghai","Prince Rupert","Memphis","COSCO BEIJING-069-North","05/09/2018","Actual","06/02/2018","Estimated","05/27/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/27/2018","CN Prince Rupert, Prince Rupert","","","","","","Held","CSLU200428-7","20GP",
="6185516940",="6185516940","Confirmed*","Qingdao Crowntyre Industrial Company Limited","Qingdao","Prince Rupert","Memphis","CSCL AUTUMN-016-East","05/22/2018","Actual","06/16/2018","Estimated","","","Vessel Departure at First POL","05/22/2018","Qingdao, Qingdao","","","","","","Held","TCNU862477-6","40HQ",
