"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="6160593110",="6160593110","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/24/2018","Actual","05/18/2018","Long Beach, Long Beach","Last Deramp Under I/B","05/24/2018","Union Pacific Railway - Marion, Memphis","05/24/2018","Long Beach","05/21/2018","Cleared","05/24/2018","Cleared","CCLU797283-4","40HQ",
="6160593120",="6160593120","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","COSCO FORTUNE-041-East","04/19/2018","Actual","05/24/2018","Actual","05/18/2018","Long Beach, Long Beach","Picked up at Final Destination for Delivery","05/26/2018","Union Pacific Railway - Marion, Memphis","05/24/2018","Long Beach","05/21/2018","Cleared","05/24/2018","Cleared","TCNU228429-9","40HQ",
="6160595830",="6160595830","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/23/2018","Actual","05/15/2018","Prince Rupert, Prince Rupert","Empty Container Returned to Carrier at Destination","05/25/2018","Intermodal Cartage, Memphis","05/23/2018","Prince Rupert","05/21/2018","Cleared","05/22/2018","Cleared","CCLU663506-3","40HQ",
="6160595850",="6160595850","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/26/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/18/2018","Long Beach, Long Beach","","","","","05/16/2018","Cleared","CCLU725168-0","40HQ",
="6160596190",="6160596190","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","05/23/2018","Actual","05/15/2018","Prince Rupert, Prince Rupert","Picked up at Final Destination for Delivery","05/25/2018","CN (Memphis), Memphis","05/23/2018","Prince Rupert","05/21/2018","Cleared","05/21/2018","Cleared","CBHU705070-4","40HQ",
="6160595840",="6160595840","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","05/26/2018","Actual","05/18/2018","Prince Rupert, Prince Rupert","Carrier Released","05/27/2018","Prince Rupert","05/27/2018","Prince Rupert","05/23/2018","Cleared","05/24/2018","Cleared","UETU516083-1","40HQ",
="6160598220",="6160598220","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","05/28/2018","Estimated","05/21/2018","Prince Rupert, Prince Rupert","First Loaded on Rail Under I/B","05/21/2018","CN Prince Rupert, Prince Rupert","","","05/24/2018","Cleared","","Held","CCLU769484-1","40HQ",
="6160598230",="6160598230","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","05/26/2018","Actual","05/18/2018","Prince Rupert, Prince Rupert","Carrier Released","05/27/2018","Prince Rupert","05/27/2018","Prince Rupert","05/23/2018","Cleared","05/24/2018","Cleared","BMOU455577-6","40HQ",
="6160596700",="6160596700","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","COSCO PRIDE-042-East","05/09/2018","Actual","06/09/2018","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/25/2018","Prince Rupert, Prince Rupert","","","","","","Held","TCNU644757-9","40HQ",
="6160598210",="6160598210","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","COSCO PRIDE-042-East","05/09/2018","Actual","","Estimated","","","Discharged from Vessel at Last Port of Discharge","05/25/2018","Prince Rupert, Prince Rupert","","","","","","Held","CXDU122177-4","40HQ",
="6160597320",="6160597320","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL AUTUMN-016-East","05/18/2018","Actual","06/16/2018","Estimated","","","Vessel Departure at First POL","05/18/2018","Xingang, Xingang","","","","","","Held","TCNU259060-0","40HQ",
="6160597330",="6160597330","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL AUTUMN-016-East","05/18/2018","Actual","06/16/2018","Estimated","","","Vessel Departure at First POL","05/18/2018","Xingang, Xingang","","","","","","Held","SEGU443110-8","40HQ",
="6160597340",="6160597340","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL AUTUMN-016-East","05/18/2018","Actual","06/16/2018","Estimated","","","Vessel Departure at First POL","05/18/2018","Xingang, Xingang","","","","","","Held","CCLU689366-4","40HQ",
="6160597350",="6160597350","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL EAST CHINA SEA-022-East","05/22/2018","Actual","","Estimated","","","Vessel Departure at First POL","05/22/2018","Xingang, Xingang","","","","","","Held","TEMU628934-4","40HQ",
="6160597360",="6160597360","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL EAST CHINA SEA-022-East","05/22/2018","Actual","","Estimated","","","Vessel Departure at First POL","05/22/2018","Xingang, Xingang","","","","","","Held","BMOU439963-1","40HQ",
="6160597370",="6160597370","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL EAST CHINA SEA-022-East","05/22/2018","Actual","","Estimated","","","Vessel Departure at First POL","05/22/2018","Xingang, Xingang","","","","","","Held","CBHU832619-2","40HQ",
="",="6160596710","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/30/2018","Estimated","","","","","Container Arrival at First Port of Load","05/24/2018","Xingang, Xingang","","","","","","","TGHU685374-9","40HQ",
="",="6183107850","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/30/2018","Estimated","06/25/2018","Estimated","","","Full Container Received by Carrier at Origin","05/24/2018","Tianjin Port Pacific Int'l Ctn Tml, Xingang","","","","","","","TCNU507859-0","40HQ",
="",="6183104310","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","05/30/2018","Estimated","06/25/2018","Estimated","","","Full Container Received by Carrier at Origin","05/24/2018","Tianjin Port Pacific Int'l Ctn Tml, Xingang","","","","","","","TCNU909669-4","40HQ",
="",="6183107840","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","06/06/2018","Estimated","07/06/2018","Estimated","","","Empty Container Picked Up","05/25/2018","Tianjin Binhai COSCO Ctn Logistics, Xingang","","","","","","","CSNU646679-0","40HQ",
="",="6183104300","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","06/06/2018","Estimated","07/02/2018","Estimated","","","Empty Container Picked Up","05/28/2018","Tianjin Binhai COSCO Ctn Logistics, Xingang","","","","","","","TCNU634231-0","40HQ",
="",="6183107830","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","06/06/2018","Estimated","07/02/2018","Estimated","","","Empty Container Picked Up","05/25/2018","Tianjin Binhai COSCO Ctn Logistics, Xingang","","","","","","","BMOU585674-8","40HQ",
="",="6183107820","Cancelled*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","06/06/2018","Estimated","07/02/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6183108290","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","06/13/2018","Estimated","07/13/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6183107810","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","06/13/2018","Estimated","07/09/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6183107800","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","06/13/2018","Estimated","07/09/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6183104650","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Long Beach (Intended)","Memphis","","06/20/2018","Estimated","07/20/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6183108390","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","06/20/2018","Estimated","07/16/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="",="6183104660","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang (Intended)","Prince Rupert (Intended)","Memphis","","06/20/2018","Estimated","07/16/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="6185527170",="6185527170","Confirmed*","Tyreland Industry Company Limited","Qingdao","Prince Rupert","Memphis","CSCL AUTUMN-016-East","05/22/2018","Actual","06/15/2018","Estimated","","","Vessel Departure at Transshipment Port","05/26/2018","Shanghai, Shanghai","","","","","","Held","TCNU803965-8","40HQ",
