"Bill of Lading Number","Booking Number","Booking Status*","Shipper","Port of Load ","Port of Discharge ","Destination City","B/L Vessel Voyage","Departure at First Port of Load Date","Departure at First Port of Load Estimated/Actual","Arrival at Final Destination Hub Date","Arrival at Final Destination Hub Estimated/Actual","Intermodal Departure from Last Port of Discharge Date","Intermodal Departure from Last Port of Discharge Location","Latest Container Event ","Latest Container Event Date","Latest Container Event Location","Carrier Released Date","Carrier Released Location","B/L Freight Clearance Status (B/L Level) Date","B/L Freight Clearance Status (B/L Level)","Inbound Customs Clearance Status (B/L Level) Date","Inbound Customs Clearance Status (B/L Level)","Container Number","Container Size/Type"
="",="6008522710","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang (Intended)","Charleston (Intended)","Loris","","05/17/2018","Estimated","06/26/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="",="6008522710","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang (Intended)","Charleston (Intended)","Loris","","05/17/2018","Estimated","06/26/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="",="6008522700","Confirmed*","Hangzhou Skye Vehicle Parts. Co., Ltd.","Nanchang (Intended)","Prince Rupert (Intended)","Memphis","","05/17/2018","Estimated","06/27/2018","Estimated","","","No event received","","","","","","","","","Unassigned","20GP",
="6182529680",="6182529680","Wait Listed*","Hebei Xingyue Braking Element Company Limited","Xingang","Norfolk","Lexington","QI YUN HE-133-East","04/19/2018","Actual","05/24/2018","Estimated","","","Vessel Departure at Transshipment Port","04/25/2018","Busan, Busan","","","","","","Held","SEGU303576-1","20GP",
="6182552700",="6182552700","Confirmed*","Hebei Xingyue Braking Element Company Limited","Xingang","Prince Rupert","Memphis","CSCL SPRING-014-East","04/26/2018","Actual","06/01/2018","Estimated","","","Vessel Departure at Transshipment Port","05/05/2018","Qingdao, Qingdao","","","","","","Held","CBHU568861-8","20GP",
="6182545470",="6182545470","Confirmed*","Hebei Xingyue Braking Element Company Limited","Xingang","Prince Rupert","Memphis","CSCL BOHAI SEA-016-East","05/02/2018","Actual","","Estimated","","","Vessel Departure at Transshipment Port","05/13/2018","Qingdao, Qingdao","","","","","","Held","TRHU168632-1","20GP",
="6181479400",="6181479400","Confirmed*","Intradin Huzhou Hardware Co., Ltd","Shanghai","Prince Rupert","Memphis","CSCL AUTUMN-015-East","04/11/2018","Actual","05/03/2018","Actual","04/26/2018","Prince Rupert, Prince Rupert","Empty Container Returned to Carrier at Destination","05/08/2018","CN (Memphis), Memphis","05/04/2018","Prince Rupert","05/03/2018","Cleared","05/02/2018","Cleared","CCLU390095-0","20GP",
="6181429080",="6181429080","Confirmed*","Intradin Huzhou Hardware Co., Ltd","Shanghai","Prince Rupert","Memphis","COSCO BEIJING-069-North","05/09/2018","Actual","06/01/2018","Estimated","","","Vessel Departure at First POL","05/09/2018","Shanghai, Shanghai","","","","","","Held","CSLU200428-7","20GP",
="",="6181625210","Cancelled*","Iti Company Limited","Shanghai (Intended)","Prince Rupert (Intended)","Memphis","","05/02/2018","Actual","05/23/2018","Estimated","","","Vessel Arrival at Last POD","05/12/2018","Prince Rupert, Prince Rupert","","","","","","","TCIU455408-8","20GP",
="",="6185516940","Confirmed*","Qingdao Crowntyre Industrial Company Limited","Qingdao (Intended)","Prince Rupert (Intended)","Memphis","","05/21/2018","Estimated","06/12/2018","Estimated","","","No event received","","","","","","","","","Unassigned","40HQ",
="6179335990",="6179335990","Confirmed*","Qingdao Qihang Tyre Company Limited","Qingdao","Long Beach","Memphis","CSCL SUMMER-015-East","04/15/2018","Actual","05/20/2018","Estimated","05/12/2018","Long Beach, Long Beach","Intermodal Departure from Last Port of Discharge","05/12/2018","Long Beach, Long Beach","","","05/08/2018","Cleared","","Held","TCNU617717-5","40HQ",
="6160585160",="6160585160","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Prince Rupert","Memphis","CSCL AUTUMN-015-East","04/06/2018","Actual","05/03/2018","Actual","04/26/2018","Prince Rupert, Prince Rupert","Empty Container Returned to Carrier at Destination","05/08/2018","CN (Memphis), Memphis","05/03/2018","Prince Rupert","04/27/2018","Cleared","05/01/2018","Cleared","TCNU618121-5","40HQ",
="6160585170",="6160585170","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL AUTUMN-015-East","04/06/2018","Actual","05/06/2018","Actual","04/30/2018","Long Beach, Long Beach","Empty Container Returned to Carrier at Destination","05/10/2018","CN (Memphis), Memphis","05/07/2018","Long Beach","05/03/2018","Cleared","04/24/2018","Cleared","TCNU938972-7","40HQ",
="6160585180",="6160585180","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL AUTUMN-015-East","04/06/2018","Actual","05/06/2018","Actual","04/30/2018","Long Beach, Long Beach","Empty Container Returned to Carrier at Destination","05/10/2018","CN (Memphis), Memphis","05/07/2018","Long Beach","05/03/2018","Cleared","04/24/2018","Cleared","TCNU659847-2","40HQ",
="6160585150",="6160585150","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL SUMMER-015-East","04/12/2018","Actual","05/20/2018","Estimated","05/09/2018","Long Beach, Long Beach","Intermodal Departure from Last Port of Discharge","05/09/2018","Long Beach, Long Beach","","","","","","Held","MAGU536349-3","40HQ",
="6160592450",="6160592450","Confirmed*","Tianjin Wanda Tyre Group Company Limited","Xingang","Long Beach","Memphis","CSCL SUMMER-015-East","04/12/2018","Actual","05/12/2018","Actual","05/06/2018","Long Beach, Long Beach","Last Deramp Under I/B","05/12/2018","Union Pacific Railway - Marion, Memphis","05/12/2018","Long Beach","05/08/2018","Cleared","05/12/2018","Cleared","TCNU657533-2","40HQ",
