"BOL #","CN #","Vendor","Port of Discharge ","Destination City","Destination State","Destination Country","ETA Date/Time","ETA Time Zone","Customs Clearance Status Date/Time","Customs Clearance Status Time Zone","Customs Clearance Status","B/L Status","Latest Container Event ","Latest Container Event Date/Time","Latest Container Event Time Zone","Latest Container Event Location","Container Size/Type"
="6179518010","TCNU137006-8","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","First Loaded on Rail Under I/B","05/21/2018 7:26","CDT","CN Prince Rupert, Prince Rupert, British Columbia, Canada","40HQ",
="6179518010","FSCU879069-9","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","First Loaded on Rail Under I/B","05/21/2018 7:11","CDT","CN Prince Rupert, Prince Rupert, British Columbia, Canada","40HQ",
="6179522280","TLLU487706-2","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/30/2018 8:00 (Estimated)","CDT","","","Held","Not Released","First Loaded on Rail Under I/B","05/21/2018 12:14","CDT","CN Prince Rupert, Prince Rupert, British Columbia, Canada","40HQ",
="6179386310","DFSU156558-2","Changyi Youxing Casting Company Limited","Prince Rupert","Memphis","Tennessee","United States","05/31/2018 8:00 (Estimated)","CDT","","","Held","Not Released","First Loaded on Rail Under I/B","05/21/2018 11:55","CDT","CN Prince Rupert, Prince Rupert, British Columbia, Canada","20GP",
="6182552700","CBHU568861-8","Hebei Xingyue Braking Element Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/01/2018 8:00 (Estimated)","CDT","","","Held","Not Released","First Loaded on Rail Under I/B","05/21/2018 11:31","CDT","CN Prince Rupert, Prince Rupert, British Columbia, Canada","20GP",
="6181429080","CSLU200428-7","Intradin Huzhou Hardware Co., Ltd","Prince Rupert","Memphis","Tennessee","United States","06/02/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged from Vessel at Last Port of Discharge","05/25/2018 0:04","CDT","Prince Rupert, Prince Rupert, British Columbia, Canada","20GP",
="6182110120","DFSU632170-0","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/06/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/17/2018 19:14","CDT","Shanghai, Shanghai, CHINA","40HQ",
="6182110120","FSCU872354-0","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/06/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/17/2018 19:14","CDT","Shanghai, Shanghai, CHINA","40HQ",
="6160596700","TCNU644757-9","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/09/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at Transshipment Port","05/13/2018 2:36","CDT","Qingdao, Qingdao, Shandong, China","40HQ",
="6185527170","TCNU803965-8","Tyreland Industry Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/13/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","05/23/2018 22:30","CDT","Shanghai, Shanghai, Shanghai, China","40HQ",
="6160597320","TCNU259060-0","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/16/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/18/2018 6:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160597330","SEGU443110-8","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/16/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/18/2018 6:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6160597340","CCLU689366-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/16/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/18/2018 6:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6185488790","CAIU344452-5","Changyi Youxing Casting Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/16/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/21/2018 20:18","CDT","Qingdao, Qingdao, Shandong, China","20GP",
="6185516940","TCNU862477-6","Qingdao Crowntyre Industrial Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/16/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/21/2018 20:18","CDT","Qingdao, Qingdao, Shandong, China","40HQ",
="6160597370","CBHU832619-2","Tianjin Wanda Tyre Group Company Limited","Prince Rupert","Memphis","Tennessee","United States","06/18/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Vessel Departure at First POL","05/22/2018 3:00","CDT","Xingang, Xingang, Tianjin, China","40HQ",
="6182111620","FCIU987424-4","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/18/2018 8:00 (Estimated)","CDT","","","","","Full Container Received by Carrier at Origin","05/24/2018 6:36","CDT","Shanghai Guandong (III), Yangshan, Shanghai, Shanghai, China","40HQ",
="6008522700","GLDU931983-3","Hangzhou Skye Vehicle Parts. Co., Ltd.","Prince Rupert","Memphis","Tennessee","United States","06/20/2018 8:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","05/21/2018 11:00","CDT","Shanghai, Shanghai, Shanghai, China","20GP",
="6182112950","Unassigned","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/25/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6182112950","Unassigned","Guangdong Foreign Trade Import & Export Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/25/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6182630420","TCKU255801-3","Hebei Xingyue Braking Element Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/25/2018 8:00 (Estimated)","CDT","","","","","Empty Container Picked Up","05/25/2018 1:27","CDT","Tianjin Binhai COSCO Ctn Logistics, Xingang, Tianjin, China","20GP",
="6183104310","TCNU909669-4","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/25/2018 8:00 (Estimated)","CDT","","","","","Full Container Received by Carrier at Origin","05/23/2018 16:43","CDT","Tianjin Port Pacific Int'l Ctn Tml, Xingang, Tianjin, China","40HQ",
="6183107850","TCNU507859-0","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/25/2018 8:00 (Estimated)","CDT","","","","","Full Container Received by Carrier at Origin","05/23/2018 17:04","CDT","Tianjin Port Pacific Int'l Ctn Tml, Xingang, Tianjin, China","40HQ",
="6185511510","Unassigned","Changyi Youxing Casting Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/25/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","20GP",
="6185511520","Unassigned","Changyi Youxing Casting Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/25/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","20GP",
="6008522710","CSLU114281-0","Hangzhou Skye Vehicle Parts. Co., Ltd.","Charleston","Loris","South Carolina","United States","06/26/2018 11:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","05/21/2018 11:00","CDT","Shanghai, Shanghai, Shanghai, China","20GP",
="6008522710","CBHU552322-2","Hangzhou Skye Vehicle Parts. Co., Ltd.","Charleston","Loris","South Carolina","United States","06/26/2018 11:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","05/21/2018 11:00","CDT","Shanghai, Shanghai, Shanghai, China","20GP",
="6008526090","CSLU235424-3","Hangzhou Skye Vehicle Parts. Co., Ltd.","Norfolk","Henderson","North Carolina","United States","06/26/2018 18:00 (Estimated)","CDT","","","Held","Not Released","Discharged at Port of Transhipment","05/21/2018 22:00","CDT","Shanghai, Shanghai, Shanghai, China","20GP",
="6008525240","CBHU411055-9","Hangzhou Skye Vehicle Parts. Co., Ltd.","Prince Rupert (Intended)","Memphis","Tennessee","United States","06/27/2018 8:00 (Estimated)","CDT","","","","","Container Arrival at First Port of Load","05/25/2018 3:00","CDT","Nanchang, Nanchang, Jiangxi, China","20GP",
="6183104300","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","07/02/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6183107820","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","07/02/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6183107830","BMOU585674-8","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","07/02/2018 8:00 (Estimated)","CDT","","","","","Empty Container Picked Up","05/24/2018 23:40","CDT","Tianjin Binhai COSCO Ctn Logistics, Xingang, Tianjin, China","40HQ",
="6183107840","CSNU646679-0","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","07/06/2018 7:00 (Estimated)","CDT","","","","","Empty Container Picked Up","05/24/2018 23:24","CDT","Tianjin Binhai COSCO Ctn Logistics, Xingang, Tianjin, China","40HQ",
="6183107800","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","07/09/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6183107810","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","07/09/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6183108290","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","07/13/2018 7:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6183104660","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","07/16/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6183108390","Unassigned","Tianjin Wanda Tyre Group Company Limited","Prince Rupert (Intended)","Memphis","Tennessee","United States","07/16/2018 8:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
="6183104650","Unassigned","Tianjin Wanda Tyre Group Company Limited","Long Beach (Intended)","Memphis","Tennessee","United States","07/20/2018 7:00 (Estimated)","CDT","","","","","No event received","","","","40HQ",
